ID,STD,H,V,SCAN,NOM_FREQ,V_FREQ,H_FREQ,CLK,H_FP,H_SW,H_BP,V_FP,V_SW,V_BP,Margin,H_POL,V_POL,H_BLANK,V_BLANK,H_EFF,V_EFF
01h,DMT,640,350,p,85.000,85.080,37.861,31.5,32,64,96,32,3,60,0,p,n,192,95,832,445
02h,DMT,640,400,p,85.000,85.080,37.861,31.5,32,64,96,1,3,41,0,n,p,192,45,832,445
03h,DMT,720,400,p,85.000,85.039,37.927,35.5,36,72,108,1,3,42,0,n,p,216,46,936,446
04h,DMT,640,480,p,60.000,59.940,31.469,25.175,8,96,40,2,2,25,8,n,n,160,45,800,525
05h,DMT,640,480,p,72.000,72.809,37.861,31.5,16,40,120,1,3,20,8,n,n,192,40,832,520
06h,DMT,640,480,p,75.000,75.000,37.5,31.5,16,64,120,1,3,16,0,n,n,200,20,840,500
07h,DMT,640,480,p,85.000,85.008,43.269,36,56,56,80,1,3,25,0,n,n,192,29,832,509
08h,DMT,800,600,p,56.000,56.250,35.156,36,24,72,128,1,2,22,0,p,p,224,25,1024,625
09h,DMT,800,600,p,60.000,60.317,37.879,40,40,128,88,1,4,23,0,p,p,256,28,1056,628
0Ah,DMT,800,600,p,75.000,72.188,48.077,50,56,120,64,37,6,23,0,p,p,240,66,1040,666
0Bh,DMT,800,600,p,75.000,75.000,46.875,49.5,16,80,160,1,3,21,0,p,p,256,25,1056,625
0Ch,DMT,800,600,p,85.000,85.061,53.674,56.25,32,64,152,1,3,27,0,p,p,248,31,1048,631
0Dh,CVTRB,800,600,p,120.000,119.972,76.302,73.25,48,32,80,3,4,29,0,p,n,160,36,960,636
0Eh,DMT,848,480,p,60.000,60.000,31.02,33.75,16,112,112,6,8,23,0,p,p,240,37,1088,517
0Fh,DMT,1024,768,i,43.000,86.957,35.522,44.9,8,176,56,0,4,20,0,p,p,240,24,1264,792
10h,DMT,1024,768,p,60.000,60.004,48.363,65,24,136,160,3,6,29,0,n,n,320,38,1344,806
11h,DMT,1024,768,p,70.000,70.069,56.476,75,24,136,144,3,6,29,0,n,n,304,38,1328,806
12h,DMT,1024,768,p,75.000,75.029,60.023,78.75,16,96,176,1,3,28,0,p,p,288,32,1312,800
13h,DMT,1024,768,p,85.000,84.997,68.677,94.5,48,96,208,1,3,36,0,p,p,352,40,1376,808
14h,CVTRB,1024,768,p,120.000,119.989,97.551,115.5,48,32,80,3,4,38,0,p,n,160,45,1184,813
15h,DMT,1152,864,p,75.000,75.000,67.5,108,64,128,256,1,3,32,0,p,p,448,36,1600,900
55h,CTA,1280,720,p,60.000,60.000,45,74.25,110,40,220,5,5,20,0,p,p,370,30,1650,750
16h,CVTRB,1280,768,p,60.000,59.995,47.396,68.25,48,32,80,3,7,12,0,p,n,160,22,1440,790
17h,CVT,1280,768,p,60.000,59.870,47.776,79.5,64,128,192,3,7,20,0,n,p,384,30,1664,798
18h,CVT,1280,768,p,75.000,74.893,60.289,102.25,80,128,208,3,7,27,0,n,p,416,37,1696,805
19h,CVT,1280,768,p,85.000,84.837,68.633,117.5,80,136,216,3,7,31,0,n,p,432,41,1712,809
1Ah,CVTRB,1280,768,p,120.000,119.798,97.396,140.25,48,32,80,3,7,35,0,p,n,160,45,1440,813
1Bh,CVTRB,1280,800,p,60.000,59.910,49.306,71,48,32,80,3,6,14,0,p,n,160,23,1440,823
1Ch,CVT,1280,800,p,60.000,59.810,49.702,83.5,72,128,200,3,6,22,0,n,p,400,31,1680,831
1Dh,CVT,1280,800,p,75.000,74.934,62.795,106.5,80,128,208,3,6,29,0,n,p,416,38,1696,838
1Eh,CVT,1280,800,p,85.000,84.880,71.554,122.5,80,136,216,3,6,34,0,n,p,432,43,1712,843
1Fh,CVTRB,1280,800,p,120.000,119.909,101.563,146.25,48,32,80,3,6,38,0,p,n,160,47,1440,847
20h,DMT,1280,960,p,60.000,60.000,60,108,96,112,312,1,3,36,0,p,p,520,40,1800,1000
21h,DMT,1280,960,p,85.000,85.002,85.938,148.5,64,160,224,1,3,47,0,p,p,448,51,1728,1011
22h,CVTRB,1280,960,p,120.000,119.838,121.875,175.5,48,32,80,3,4,50,0,p,n,160,57,1440,1017
23h,DMT,1280,1024,p,60.000,60.020,63.981,108,48,112,248,1,3,38,0,p,p,408,42,1688,1066
24h,DMT,1280,1024,p,75.000,75.025,79.976,135,16,144,248,1,3,38,0,p,p,408,42,1688,1066
25h,DMT,1280,1024,p,85.000,85.024,91.146,157.5,64,160,224,1,3,44,0,p,p,448,48,1728,1072
26h,CVTRB,1280,1024,p,120.000,119.958,130.035,187.25,48,32,80,3,7,50,0,p,n,160,60,1440,1084
27h,DMT,1360,768,p,60.000,60.015,47.712,85.5,64,112,256,3,6,18,0,p,p,432,27,1792,795
28h,CVTRB,1360,768,p,120.000,119.967,97.533,148.25,48,32,80,3,5,37,0,p,n,160,45,1520,813
51h,DMT,1366,768,p,60.000,59.790,47.712,85.5,70,143,213,3,3,24,0,p,p,426,30,1792,798
56h,DMT,1366,768,p,60.000,60.000,48,72,14,56,64,1,3,28,0,p,p,134,32,1500,800
29h,CVTRB,1400,1050,p,60.000,59.948,64.744,101,48,32,80,3,4,23,0,p,n,160,30,1560,1080
2Ah,CVT,1400,1050,p,60.000,,65.317,121.75,,,,,,,,,,,,,
2Bh,CVT,1400,1050,p,75.000,,82.3,156,,,,,,,,,,,,,
2Ch,CVT,1400,1050,p,85.000,,93.9,179.5,,,,,,,,,,,,,
2Dh,CVTRB,1400,1050,p,120.000,,133.3,208,,,,,,,,,,,,,
2Eh,CVTRB,1440,900,p,60.000,,55.5,88.75,,,,,,,,,,,,,
2Fh,CVT,1440,900,p,60.000,,55.9,106.5,,,,,,,,,,,,,
30h,CVT,1440,900,p,75.000,,70.6,136.75,,,,,,,,,,,,,
31h,CVT,1440,900,p,85.000,,80.4,157,,,,,,,,,,,,,
32h,CVTRB,1440,900,p,120.000,,114.2,182.75,,,,,,,,,,,,,
53h,DMT,1600,900,p,60.000,60.000,60,108,24,80,96,1,3,96,0,p,p,200,100,1800,1000
33h,DMT,1600,1200,p,60.000,60.000,75,162,64,192,304,1,3,46,0,p,p,560,50,2160,1250
34h,DMT,1600,1200,p,65.000,65.000,81.25,175.5,64,192,304,1,3,46,0,p,p,560,50,2160,1250
35h,DMT,1600,1200,p,70.000,70.000,87.5,189,64,192,304,1,3,46,0,p,p,560,50,2160,1250
36h,DMT,1600,1200,p,75.000,75.000,93.75,202.5,64,192,304,1,3,46,0,p,p,560,50,2160,1250
37h,DMT,1600,1200,p,85.000,85.000,106.25,229.5,64,192,304,1,3,46,0,p,p,560,50,2160,1250
38h,CVTRB,1600,1200,p,120.000,,152.415,268.25,,,,,,,,,,,,,
39h,CVTRB,1680,1050,p,60.000,,64.7,119,,,,,,,,,,,,,
3Ah,CVT,1680,1050,p,60.000,,65.3,146.25,,,,,,,,,,,,,
3Bh,CVT,1680,1050,p,75.000,,82.3,187,,,,,,,,,,,,,
3Ch,CVT,1680,1050,p,85.000,,93.9,214.75,,,,,,,,,,,,,
3Dh,CVTRB,1680,1050,p,120.000,,144.4,245.5,,,,,,,,,,,,,
3Eh,DMT,1792,1344,p,60.000,60.000,83.64,204.75,128,200,328,1,3,46,0,n,p,656,50,2448,1394
3Fh,DMT,1792,1344,p,75.000,74.997,106.270,261.000,96,216,352,1,3,69,0,n,p,664,73,2456,1417
40h,CVTRB,1792,1344,p,120.000,,170.700,333.25,,,,,,,,,,,,,
41h,DMT,1856,1392,p,60.000,59.995,86.333,218.25,96,224,352,1,3,43,0,n,p,672,47,2528,1439
42h,DMT,1856,1392,p,75.000,75.000,112.5,288.000,128,224,352,1,3,104,0,n,p,704,108,2560,1500
43h,CVTRB,1856,1392,p,120.000,,176.800,356.5,,,,,,,,,,,,,
52h,CTA,1920,1080,p,60.000,,67.5,148.500,,,,,,,,,,,,,
44h,CVTRB,1920,1200,p,60.000,,74,154,,,,,,,,,,,,,
45h,CVT,1920,1200,p,60.000,,74.600,193.25,,,,,,,,,,,,,
46h,CVT,1920,1200,p,75.000,,94,245.25,,,,,,,,,,,,,
47h,CVT,1920,1200,p,85.000,,107.2,281.25,,,,,,,,,,,,,
48h,CVTRB,1920,1200,p,120.000,,152.400,317.000,,,,,,,,,,,,,
49h,DMT,1920,1440,p,60.000,60.000,90,234,128,208,344,1,3,56,0,n,p,680,60,2600,1500
4Ah,DMT,1920,1440,p,75.000,75.000,112.500,297.000,144,224,352,1,3,56,0,n,p,720,60,2640,1500
4Bh,CVTRB,1920,1440,p,120.000,,182.9,380.5,,,,,,,,,,,,,
54h,CVTRB,2048,1152,p,60.000,,70.992,156.75,,,,,,,,,,,,,
4Ch,CVTRB,2560,1600,p,60.000,,98.700,268.500,,,,,,,,,,,,,
4Dh,CVT,2560,1600,p,60.000,,99.5,348.5,,,,,,,,,,,,,
4Eh,CVT,2560,1600,p,75.000,,125.4,443.25,,,,,,,,,,,,,
4Fh,CVT,2560,1600,p,85.000,,142.900,505.250,,,,,,,,,,,,,
50h,CVTRB,2560,1600,p,120.000,,203.2,552.75,,,,,,,,,,,,,
57h,CVTR2,4096,2160,p,60.000,,133.32,556.744,,,,,,,,,,,,,
58h,CVTR2,4096,2160,p,59.940,,133.187,556.188,,,,,,,,,,,,,
